country,code3,visa_free_score,rank,Births_2023,Birth_Share,Birth_Share_Pct,entry_to_europe_status,region
Singapore,SGP,192,1,47472.0,0.0003593920151833,0.0359392015183373,visa-free,Asia
Republic of Korea,KOR,188,2,236394.0,0.0017896468663055,0.1789646866305579,visa-free,Asia
Japan,JPN,188,2,749884.0,0.0056770795819381,0.5677079581938177,visa-free,Asia
Denmark,DNK,186,3,57810.0,0.0004376569851228,0.0437656985122827,visa-free,Europe
Spain,ESP,186,3,336821.0,0.0025499405532962,0.2549940553296241,visa-free,Europe
Luxembourg,LUX,186,3,6946.0,5.258545958593939e-05,0.0052585459585939,visa-free,Europe
Switzerland,CHE,186,3,83702.0,0.0006336752286585,0.0633675228658551,visa-free,Europe
Sweden,SWE,186,3,97915.0,0.0007412763137571,0.0741276313757163,visa-free,Europe
Austria,AUT,185,4,77054.0,0.0005833458109609,0.0583345810960981,visa-free,Europe
Belgium,BEL,185,4,101686.0,0.0007698250854385,0.0769825085438501,visa-free,Europe
Germany,DEU,185,4,719249.0,0.0054451539334476,0.5445153933447643,visa-free,Europe
Greece,GRC,185,4,73661.0,0.0005576587299971,0.0557658729997103,visa-free,Europe
Ireland,IRL,185,4,53268.0,0.0004032712728511,0.0403271272851111,visa-free,Europe
Italy,ITA,185,4,384627.0,0.002911861152341,0.2911861152341076,visa-free,Europe
Netherlands,NLD,185,4,167842.0,0.0012706663846563,0.1270666384656383,visa-free,Europe
Norway,NOR,185,4,51545.0,0.0003902271111945,0.0390227111194535,visa-free,Europe
Finland,FIN,185,4,43556.0,0.0003297455049993,0.0329745504999305,visa-free,Europe
France,FRA,185,4,638891.0,0.0048367948258451,0.4836794825845149,visa-free,Europe
Hungary,HUN,184,5,85373.0,0.0006463257185762,0.0646325718576217,visa-free,Europe
United Arab Emirates,ARE,184,5,104015.0,0.0007874570369754,0.0787457036975451,visa-free,Asia
Portugal,PRT,184,5,86646.0,0.0006559631055691,0.0655963105569148,visa-free,Europe
Slovakia,SVK,184,5,52271.0,0.0003957233743185,0.0395723374318548,visa-free,Europe
Slovenia,SVN,184,5,17902.0,0.0001355290667301,0.013552906673013,visa-free,Europe
Malta,MLT,183,6,4213.0,3.189498146207352e-05,0.0031894981462073,visa-free,Europe
New Zealand,NZL,183,6,59236.0,0.0004484526755013,0.0448452675501397,visa-free,Oceania
Poland,POL,183,6,317916.0,0.0024068181643713,0.2406818164371366,visa-free,Europe
Croatia,HRV,183,6,31446.0,0.0002380654134954,0.0238065413495457,visa-free,Europe
Czechia,CZE,183,6,91845.0,0.0006953227088497,0.0695322708849784,visa-free,Europe
Estonia,EST,183,6,11036.0,8.35492559732835e-05,0.0083549255973283,visa-free,Europe
Australia,AUS,182,7,304340.0,0.0023040395580744,0.2304039558074402,visa-free,Oceania
United Kingdom,GBR,182,7,688388.0,0.0052115173270149,0.5211517327014922,visa-free,Europe
Latvia,LVA,182,7,14250.0,0.000107881197682,0.0107881197682066,visa-free,Europe
Liechtenstein,LIE,182,7,371.0,2.808696444915565e-06,0.0002808696444915,visa-free,Europe
Iceland,ISL,181,8,4347.0,3.290944325080313e-05,0.0032909443250803,visa-free,Europe
Canada,CAN,181,8,356745.0,0.0027007773941816,0.270077739418168,visa-free,Americas
Lithuania,LTU,181,8,21434.0,0.0001622684625345,0.0162268462534555,visa-free,Europe
Malaysia,MYS,180,9,435989.0,0.003300702841839,0.3300702841839062,visa-free,Asia
United States of America,USA,179,10,3657476.0,0.0276893257104151,2.76893257104151,visa-free,Americas
